,Title,Date Published,Peer Review,DOI,Author,Keywords,Methodology,References,Journal,Volume,Issue,Pages
614504481.xml,"Seeking conversion versus advocating tolerance in the pursuit of social change
",2009-11-01,True,10.1037/a0016169,"['Prislin, Radmila', 'Filson, Jennifer']","['minority influence', 'social change', 'conversion', 'tolerance', 'group conversion']","['Empirical Study', 'Quantitative Study']",40.0,Journal of Personality and Social Psychology,97.0,5.0,811-822
1877996810.xml,"Valence asymmetries in attitude ambivalence
",2017-04-01,True,10.1037/pspa0000075,"['Snyder, Aaron I.', 'Tormala, Zakary L.']","['attitudes', 'attitude strength', 'negativity bias', 'positivity offset', 'valence asymmetry']","['Empirical Study', 'Quantitative Study']",50.0,Journal of Personality and Social Psychology,112.0,4.0,555-576
614358798.xml,"What are we really priming? Cue-based versus category-based processing of facial stimuli
",2002-01-01,True,10.1037/0022-3514.82.1.5,"['Livingston, Robert W.', 'Brewer, Marilynn B.']","['priming', 'cue-based vs category-based processing', 'facial stimuli', 'physical features', 'prejudice']",['Empirical Study'],42.0,Journal of Personality and Social Psychology,82.0,1.0,5-18
1710253080.xml,"An early-emerging explanatory heuristic promotes support for the status quo
",2015-11-01,True,10.1037/pspa0000033,"['Hussak, Larisa J.', 'Cimpian, Andrei']","['explanation', 'development', 'system justification', 'inherence heuristic', 'social cognition']","['Empirical Study', 'Quantitative Study']",99.0,Journal of Personality and Social Psychology,109.0,5.0,739-752
1697758299.xml,"The highs and lows of a cultural transition: A longitudinal analysis of sojourner stress and adaptation across 50 countries
",2015-08-01,True,10.1037/pspp0000046,"['Demes, Kali A.', 'Geeraert, Nicolas']","['acculturation', 'stress', 'sojourners', 'adaptation', 'coping']","['Empirical Study', 'Quantitative Study']",90.0,Journal of Personality and Social Psychology,109.0,2.0,316-337
614326759.xml,"Optimism, self-mastery, and symptoms of depression in women professionals
",1990-07-01,True,10.1037/0022-3514.59.1.132,"['Marshall, Grant N.', 'Lang, Eric L.']","['self mastery & optimism, prediction of depressive symptoms, female professionals']",['Empirical Study'],30.0,Journal of Personality and Social Psychology,59.0,1.0,132-139
614440870.xml,"Political orientation and modern versus aversive racism: Tests of Dovidio and Gaertner's (1998) integrated model
",2003-04-01,True,10.1037/0022-3514.84.4.754,"['Nail, Paul R.', 'Harton, Helen C.', 'Decker, Brian P.']","['modern vs aversive racism', 'European Americans', 'political orientation', 'intrapsychic conflict', 'African Americans', 'integrated model', 'double jeopardy judgment', 'liberal', 'physiological arousal', 'conservative']",['Empirical Study'],69.0,Journal of Personality and Social Psychology,84.0,4.0,754-770
614313847.xml,"Appraisal of life change, depression, and illness in hardy and nonhardy women
",1989-01-01,True,10.1037/0022-3514.56.1.81,"['Rhodewalt, Frederick', 'Zone, Joan B.']","['psychological hardiness, appraisal of stressful life events & subsequent depression & illness, female 25–65 yr olds']",['Empirical Study'],32.0,Journal of Personality and Social Psychology,56.0,1.0,81-88
614422415.xml,"Emotional experience in everyday life across the adult life span
",2000-10-01,True,10.1037/0022-3514.79.4.644,"['Carstensen, Laura L.', 'Pasupathi, Monisha', 'Mayr, Ulrich', 'Nesselroade, John R.']","['emotional experience in everyday life, frequency & intensity & complexity & age differences, older vs younger 18–94 yr olds']",['Empirical Study'],47.0,Journal of Personality and Social Psychology,79.0,4.0,644-655
614352099.xml,"Direct and moderating effects of community context on the psychological well-being of African American women
",2000-12-01,True,10.1037/0022-3514.79.6.1088,"['Cutrona, Carolyn E.', 'Russell, Daniel W.', 'Hessling, Robert M.', 'Brown, P. Adama', 'Murry, Velma']","['direct & moderating effects of neighborhood context on psychological well-being & interaction of community- & individual-level characteristics in prediction of distress, African American women']",['Empirical Study'],63.0,Journal of Personality and Social Psychology,79.0,6.0,1088-1101
614378115.xml,"Hiding in the crowd: Can mortality salience promote affiliation with others who oppose one's worldviews?
",2003-03-01,True,10.1037/0022-3514.84.3.511,"['Wisman, Arnaud', 'Koole, Sander L.']","['mortality salience', 'affiliation', 'world view', 'opposing views', 'psychological confrontation', 'death']",['Empirical Study'],70.0,Journal of Personality and Social Psychology,84.0,3.0,511-526
763257889.xml,"Retraining attitudes and stereotypes to affect motivation and cognitive capacity under stereotype threat
",2010-11-01,True,10.1037/a0020971,"['Forbes, Chad E.', 'Schmader, Toni']","['attitudes', 'motivation', 'stereotype threat', 'stereotypes', 'working memory']","['Empirical Study', 'Quantitative Study']",61.0,Journal of Personality and Social Psychology,99.0,5.0,740-754
614337219.xml,"Discriminant validity of well-being measures
",1996-09-01,True,10.1037/0022-3514.71.3.616,"['Lucas, Richard E.', 'Diener, Ed', 'Suh, Eunkook']","['discriminant validity of measures, assessment of life satisfaction & positive vs negative affect & self-esteem & optimism, college students, 2 yr followup']","['Empirical Study', 'Followup Study']",43.0,Journal of Personality and Social Psychology,71.0,3.0,616-628
614318256.xml,"Optimism, coping, psychological distress, and high-risk sexual behavior among men at risk for acquired immunodeficiency syndrome (AIDS)
",1992-09-01,True,10.1037/0022-3514.63.3.460,"['Taylor, Shelley E.', 'Kemeny, Margaret E.', 'Aspinwall, Lisa G.', 'Schneider, Stephen G.', 'Rodriguez, Richard', 'Herbert, Mark']","['optimism & psychological distress & coping & high risk AIDS related sexual behavior, gay male 22–60 yr olds']",['Empirical Study'],38.0,Journal of Personality and Social Psychology,63.0,3.0,460-473
900617878.xml,"How sweet it is to be loved by you: The role of perceived regard in the terror management of close relationships
",2012-03-01,True,10.1037/a0025947,"['Cox, Cathy R.', 'Arndt, Jamie']","['close relationships', 'mortality salience', 'perceived regard', 'relationship self-esteem', 'terror management theory']","['Empirical Study', 'Quantitative Study']",81.0,Journal of Personality and Social Psychology,102.0,3.0,616-632
614366247.xml,"Social norms and the expression and suppression of prejudice: The struggle for internalization
",2002-03-01,True,10.1037/0022-3514.82.3.359,"['Crandall, Christian S.', 'Eshleman, Amy', ""O'Brien, Laurie""]","['group norm theory of attitudes', 'social norms', 'social approval', 'normative influence', 'expression & suppression of prejudice', 'self-adaptation']",['Empirical Study'],72.0,Journal of Personality and Social Psychology,82.0,3.0,359-378
614363636.xml,"Perceiving individuals and groups: Expectancies, dispositional inferences, and causal attributions
",1999-02-01,True,10.1037/0022-3514.76.2.181,"['Susskind, Joshua', 'Maurer, Kristin', 'Thakkar, Vinita', 'Hamilton, David L.', 'Sherman, Jeffrey W.']","['expectancies & dispositional inferences & causal attributions in impression formation process for individual vs group targets, college students']",['Empirical Study'],33.0,Journal of Personality and Social Psychology,76.0,2.0,181-191
614332579.xml,"Personal involvement and strategies for making contingency judgments: A stake in the dating game makes a difference
",1985-07-01,True,10.1037/0022-3514.49.1.22,"['Harkness, Allan R.', 'DeBono, Kenneth G.', 'Borgida, Eugene']","['high vs low personal involvement in dating condition & person vs abstract information condition, strategy complexity in covariation judgment task, female college students']",['Empirical Study'],26.0,Journal of Personality and Social Psychology,49.0,1.0,22-32
2119973812.xml,"The accumulation of stereotype-based self-fulfilling prophecies
",2018-11-01,True,10.1037/pspi0000142,"['Madon, Stephanie', 'Jussim, Lee', 'Guyll, Max', 'Nofziger, Heather', 'Salib, Elizabeth R.', 'Willard, Jennifer', 'Scherr, Kyle C.']","['accumulation', 'stereotypes', 'behavioral confirmation', 'self-fulfilling prophecy']",['Empirical Study'],45.0,Journal of Personality and Social Psychology,115.0,5.0,825-844
1983405948.xml,"Olfactory cues from romantic partners and strangers influence women’s responses to stress
",2018-01-01,True,10.1037/pspa0000110,"['Hofer, Marlise K.', 'Collins, Hanne K.', 'Whillans, Ashley V.', 'Chen, Frances S.']","['olfaction', 'social communication', 'social support', 'nonverbal communication', 'health behaviors']",[],58.0,Journal of Personality and Social Psychology,114.0,1.0,1-9
1285624509.xml,"Interpersonal and genetic origins of adult attachment styles: A longitudinal study from infancy to early adulthood
",2013-05-01,True,10.1037/a0031435,"['Fraley, R. Chris', 'Roisman, Glenn I.', 'Booth-LaForce, Cathryn', 'Owen, Margaret Tresch', 'Holland, Ashley S.']","['SNPs', 'adult attachment', 'attachment styles', 'development', 'longitudinal', 'individual differences', 'interpersonal & genetic antecedents', 'adult attachment theory']","['Empirical Study', 'Longitudinal Study', 'Quantitative Study']",100.0,Journal of Personality and Social Psychology,104.0,5.0,817-838
614318879.xml,"Personal need for structure: Individual differences in the desire for simpler structure
",1993-07-01,True,10.1037/0022-3514.65.1.113,"['Neuberg, Steven L.', 'Newsom, Jason T.']","['utility of need for cognitive simple structure as individual difference variable & role in social functioning, college students, Canada & US, instrument appended']",['Empirical Study'],110.0,Journal of Personality and Social Psychology,65.0,1.0,113-131
614341340.xml,"Modeling cognitive adaptation: A longitudinal investigation of the impact of individual differences and coping on college adjustment and performance
",1992-12-01,True,10.1037/0022-3514.63.6.989,"['Aspinwall, Lisa G.', 'Taylor, Shelley E.']","['individual differences in optimism & self esteem & locus of control & coping, adjustment & performance, college freshmen, 3 mo & 2 yr followups, application of cognitive adaptation theory']","['Empirical Study', 'Followup Study']",78.0,Journal of Personality and Social Psychology,63.0,6.0,989-1003
614322938.xml,"ANOVA designs with subjects and stimuli as random effects: Applications to prototype effects on recognition memory
",1987-09-01,True,10.1037/0022-3514.53.3.470,"['Richter, Martin L.', 'Seay, Mary B.']","[""ANOVA designs with Ss & stimuli as random effects, establishment of generality of experimental effects, college students, replication of N. Cantor & W. Mischel's study of person prototype effects on recognition memory""]","['Empirical Study', 'Experimental Replication']",30.0,Journal of Personality and Social Psychology,53.0,3.0,470-480
915378462.xml,"Differentiating the effects of status and power: A justice perspective
",2012-05-01,True,10.1037/a0026651,"['Blader, Steven L.', 'Chen, Ya-Ru']","['fairness', 'hierarchy', 'justice', 'power', 'status', 'social encounters']","['Empirical Study', 'Qualitative Study']",116.0,Journal of Personality and Social Psychology,102.0,5.0,994-1014
614358498.xml,"Confidence and accuracy in person perception: Do we know what we think we know about our relationship partners?
",1997-10-01,True,10.1037/0022-3514.73.4.747,"['Swann, William B., Jr.', 'Gill, Michael J.']","[""relationship length & richness of impression & involvement, confidence & accuracy of person's perception about their relationship partners, 17–41 yr old couples & college roommates, 6 mo followup""]","['Empirical Study', 'Followup Study']",50.0,Journal of Personality and Social Psychology,73.0,4.0,747-757
614476045.xml,"Striving for Unwanted Goals: Stress-Dependent Discrepancies Between Explicit and Implicit Achievement Motives Reduce Subjective Well-Being and Increase Psychosomatic Symptoms
",2005-11-01,True,10.1037/0022-3514.89.5.781,"['Baumann, Nicola', 'Kaschel, Reiner', 'Kuhl, Julius']","['implicit motives', 'achievement orientation', 'self-regulation', 'psychosomatic symptoms', 'personality systems interactions theory', 'unwanted goals', 'well being']","['Empirical Study', 'Quantitative Study']",85.0,Journal of Personality and Social Psychology,89.0,5.0,781-799
614314766.xml,"Gender and the emergence of leaders: A meta-analysis
",1991-05-01,True,10.1037/0022-3514.60.5.685,"['Eagly, Alice H.', 'Karau, Steven J.']","['emergence of male vs female leaders, initially leaderless groups, meta analysis']",['Meta Analysis'],208.0,Journal of Personality and Social Psychology,60.0,5.0,685-710
614307889.xml,"Social values and egocentric bias: Two tests of the might over morality hypothesis
",1988-10-01,True,10.1037/0022-3514.55.4.606,"['Beggan, James K.', 'Messick, David M.', 'Allison, Scott T.']","['social values & egocentric bias, perception of cooperative vs competitive behavior, college students']",['Empirical Study'],20.0,Journal of Personality and Social Psychology,55.0,4.0,606-611
614309995.xml,"Regulating affect interpersonally: When low esteem leads to greater enhancement
",1989-06-01,True,10.1037/0022-3514.56.6.907,"['Baumgardner, Ann H.', 'Kaufman, Cynthia M.', 'Levy, Paul E.']","['high vs low self esteem, self enhancement behavior in response to private vs public feedback, college students']",['Empirical Study'],49.0,Journal of Personality and Social Psychology,56.0,6.0,907-921
614326735.xml,"Vested interest and symbolic politics—observations and recommendations: Reply to Sears (1997)
",1997-03-01,True,10.1037/0022-3514.72.3.497,"['Crano, William D.']","['vested interest vs symbolic politics theory of attitude & behavior consistency, adults in national election study, 1972, commentary reply']",['Empirical Study'],16.0,Journal of Personality and Social Psychology,72.0,3.0,497-500
614304122.xml,"Measuring causal attributions for success and failure: A comparison of methodologies for assessing causal dimensions
",1987-06-01,True,10.1037/0022-3514.52.6.1248,"['Russell, Daniel W.', 'McAuley, Edward', 'Tarico, Valerie']","['reliability & validity of open ended attributions for examination performance & importance ratings of causes of success & failure & Causal Dimension Scale, assessment of dimensional properties of causal attributions, college students']",['Empirical Study'],38.0,Journal of Personality and Social Psychology,52.0,6.0,1248-1257
614332700.xml,"Postperformance attributions and task persistence among Type A and B individuals: A clarification
",1986-02-01,True,10.1037/0022-3514.50.2.413,"['Strube, Michael J.', 'Boland, Susan M.']","['self serving attributions for success & failure & task persistence, Type A vs Type B college students']",['Empirical Study'],47.0,Journal of Personality and Social Psychology,50.0,2.0,413-420
889444256.xml,"The fluency of social hierarchy: The ease with which hierarchical relationships are seen, remembered, learned, and liked
",2012-01-01,True,10.1037/a0025345,"['Zitek, Emily M.', 'Tiedens, Larissa Z.']","['asymmetry', 'familiarity', 'liking', 'processing fluency', 'social hierarchy', 'hierarchical relationships']","['Empirical Study', 'Quantitative Study']",84.0,Journal of Personality and Social Psychology,102.0,1.0,98-115
614412937.xml,"Intergroup emotions: Explaining offensive action tendencies in an intergroup context
",2000-10-01,True,10.1037/0022-3514.79.4.602,"['Mackie, Diane M.', 'Devos, Thierry', 'Smith, Eliot R.']","['social identity & group-based appraisals, emotions & offensive action tendencies towards the out-group, undergraduates']",['Empirical Study'],61.0,Journal of Personality and Social Psychology,79.0,4.0,602-616
614333718.xml,"The CAD triad hypothesis: A mapping between three moral emotions (contempt, anger, disgust) and three moral codes (community, autonomy, divinity)
",1999-04-01,True,10.1037/0022-3514.76.4.574,"['Rozin, Paul', 'Lowery, Laura', 'Imada, Sumio', 'Haidt, Jonathan']","['mapping between moral emotions of contempt & anger & disgust & moral codes of community & autonomy & divinity in moral judgment of others, Japanese vs American adults']",['Empirical Study'],46.0,Journal of Personality and Social Psychology,76.0,4.0,574-586
614306599.xml,"The Aggression Questionnaire
",1992-09-01,True,10.1037/0022-3514.63.3.452,"['Buss, Arnold H.', 'Perry, Mark']","['construction & factor analysis & internal consistency & stability of Aggression Questionnaire, college students']",['Empirical Study'],18.0,Journal of Personality and Social Psychology,63.0,3.0,452-459
614457563.xml,"Policewomen Acting in Self-Defense: Can Psychological Disengagement Protect Self-Esteem From the Negative Outcomes of Relative Deprivation?
",2005-05-01,True,10.1037/0022-3514.88.5.790,"['Tougas, Francine', 'Rinfret, Natalie', 'Beaton, Ann M.', 'de la Sablonnière, Roxane']","['policewomen', 'psychological disengagement', 'self-esteem', 'relative deprivation']","['Empirical Study', 'Quantitative Study']",76.0,Journal of Personality and Social Psychology,88.0,5.0,790-800
614477573.xml,"Is the Curve Relating Temperature to Aggression Linear or Curvilinear? Assaults and Temperature in Minneapolis Reexamined
",2005-07-01,True,10.1037/0022-3514.89.1.62,"['Bushman, Brad J.', 'Wang, Morgan C.', 'Anderson, Craig A.']","['aggression', 'assault', 'heat', 'time of day', 'temperature', 'violence', 'crime', 'weather']",[],21.0,Journal of Personality and Social Psychology,89.0,1.0,62-66
614307440.xml,"Beyond simple pessimism: Effects of sadness and anger on social perception
",1993-05-01,True,10.1037/0022-3514.64.5.740,"['Keltner, Dacher', 'Ellsworth, Phoebe C.', 'Edwards, Kari']","['sadness vs anger, causal judgments in social perception, college students']",['Empirical Study'],33.0,Journal of Personality and Social Psychology,64.0,5.0,740-752
614375190.xml,"Explanatory style as a predictor of productivity and quitting among life insurance sales agents
",1986-04-01,True,10.1037/0022-3514.50.4.832,"['Seligman, Martin E.', 'Schulman, Peter']","['explanatory style, productivity & quitting, life insurance sales agents, test of reformulated learned helplessness model']",['Empirical Study'],9.0,Journal of Personality and Social Psychology,50.0,4.0,832-838
2211182374.xml,"Understanding contemporary forms of exploitation: Attributions of passion serve to legitimize the poor treatment of workers
",2020-01-01,True,10.1037/pspi0000190,"['Kim, Jae Yun', 'Campbell, Troy H.', 'Shepherd, Steven', 'Kay, Aaron C.']","['passion', 'social justice', 'motivated cognition', 'self-help ideology']","['Empirical Study', 'Quantitative Study']",107.0,Journal of Personality and Social Psychology,118.0,1.0,121-148
614370069.xml,"Specious learning about reward and punishment
",1985-06-01,True,10.1037/0022-3514.48.6.1377,"['Schaffner, Paul E.']","[""computer simulation of praise vs reprimand in modification of child's behavior, specious learning & ratings of effectiveness, college students""]","['Empirical Study', 'Scientific Simulation']",23.0,Journal of Personality and Social Psychology,48.0,6.0,1377-1386
1552384362.xml,"Trusting others: The polarization effect of need for closure
",2014-10-01,True,10.1037/a0037022,"['Acar-Burkay, Sinem', 'Fennis, Bob M.', 'Warlop, Luk']","['trust', 'uncertainty', 'need for closure', 'interpersonal closeness']","['Empirical Study', 'Quantitative Study']",90.0,Journal of Personality and Social Psychology,107.0,4.0,719-735
614309602.xml,"Type A behavior, achievement striving, and a dysfunctional self-evaluation system
",1987-08-01,True,10.1037/0022-3514.53.2.318,"['Ward, Clay H.', 'Eisler, Richard M.']","['styles of goal achievement & self evaluation, psychological distress, college students with Type A vs B vs AB behavior']",['Empirical Study'],43.0,Journal of Personality and Social Psychology,53.0,2.0,318-326
614305213.xml,"How should multifaceted personality constructs be tested? Issues illustrated by self-monitoring, attributional style, and hardiness
",1989-04-01,True,10.1037/0022-3514.56.4.577,"['Carver, Charles S.']",['issues in multifaceted personality constructs & implications for measurement of self monitoring & attributional style & hardiness'],[],51.0,Journal of Personality and Social Psychology,56.0,4.0,577-585
614503342.xml,"Navigating personal and relational concerns: The quest for equilibrium
",2008-07-01,True,10.1037/0022-3514.95.1.94,"['Kumashiro, Madoka', 'Rusbult, Caryl E.', 'Finkel, Eli J.']","['romantic relationships', 'needs', 'self-regulation', 'equilibrium', 'well-being']","['Empirical Study', 'Quantitative Study']",50.0,Journal of Personality and Social Psychology,95.0,1.0,94-110
614377668.xml,"Type A behavior in employed women: Relation to work, marital, and leisure variables, social support, stress, tension, and health
",1985-04-01,True,10.1037/0022-3514.48.4.1067,"['Kelly, Karen E.', 'Houston, B. Kent']","['work & marital & leisure variables & social support & stress & tension & health, Type A vs Type B behavior, 21–62 yr old full time employed females']",['Empirical Study'],51.0,Journal of Personality and Social Psychology,48.0,4.0,1067-1079
614332064.xml,"Self-concept change and self-presentation: The looking glass self is also a magnifying glass
",1992-09-01,True,10.1037/0022-3514.63.3.435,"['Tice, Dianne M.']","['self monitoring & public vs private performance of identical behaviors, self concept, college students']",['Empirical Study'],65.0,Journal of Personality and Social Psychology,63.0,3.0,435-451
614395291.xml,"Looking for truth in all the wrong places? Asymmetric search of individuating information about stereotyped group members
",1997-08-01,True,10.1037/0022-3514.73.2.229,"['Trope, Yaacov', 'Thompson, Erik P.']","['category-based subjective expectancies, amount & kind of individuating information sought when trying to make accurate judgments about attitudes of stereotyped group members, college students']",['Empirical Study'],29.0,Journal of Personality and Social Psychology,73.0,2.0,229-241
614287704.xml,"Paradoxical effects of thought suppression
",1987-07-01,True,10.1037/0022-3514.53.1.5,"['Wegner, Daniel M.', 'Schneider, David J.', 'Carter, Samuel R.', 'White, Teri L.']","['thought suppression during stream of consciousness, preoccupation with thought to be suppressed, college students']",['Empirical Study'],41.0,Journal of Personality and Social Psychology,53.0,1.0,5-13
845391176.xml,"Counterfactual potency
",2011-01-01,True,10.1037/a0021523,"['Petrocelli, John V.', 'Percy, Elise J.', 'Sherman, Steven J.', 'Tormala, Zakary L.']","['counterfactual potency', 'counterfactual thinking', 'metacognition', 'probability', 'regret']","['Empirical Study', 'Quantitative Study']",62.0,Journal of Personality and Social Psychology,100.0,1.0,30-46
2310746339.xml,"“Does virtue lead to status? Testing the moral virtue theory of status attainment”: Correction to Bai, Ho, and Yan (2019)
",2020-03-01,True,10.1037/pspi0000222,['No authorship indicated'],"['admiration', 'morality', 'status', 'virtue', 'moral character']",[],,Journal of Personality and Social Psychology,118.0,3.0,531
614453174.xml,"Romantic involvement often reduces men's testosterone levels--but not always: The moderating role of extrapair sexual interest
",2006-10-01,True,10.1037/0022-3514.91.4.642,"['McIntyre, Matthew', 'Gangestad, Steven W.', 'Gray, Peter B.', 'Chapman, Judith Flynn', 'Burnham, Terence C.', ""O'Rourke, Mary T."", 'Thornhill, Randy']","['testosterone', 'relationship status', 'sociosexuality', 'sexual selection', 'mating effort', 'romantic involvement', 'men', 'sexual interests']","['Empirical Study', 'Quantitative Study']",58.0,Journal of Personality and Social Psychology,91.0,4.0,642-651
614317939.xml,"On judging and being judged accurately in zero-acquaintance situations
",1995-09-01,True,10.1037/0022-3514.69.3.518,"['Ambady, Nalini', 'Hallahan, Mark', 'Rosenthal, Robert']","['personality & nonverbal skills & sex, judging & being judged accurately in zero acquaintance situations, college students']",['Empirical Study'],63.0,Journal of Personality and Social Psychology,69.0,3.0,518-529
2071943826.xml,"Beautiful mess effect: Self–other differences in evaluation of showing vulnerability
",2018-08-01,True,10.1037/pspa0000120,"['Bruk, Anna', 'Scholl, Sabine G.', 'Bless, Herbert']","['perspective-taking', 'construal level', 'self–other differences', 'showing vulnerability']","['Empirical Study', 'Quantitative Study']",49.0,Journal of Personality and Social Psychology,115.0,2.0,192-205
614344666.xml,"Diagnosing groups: The pooling, management, and impact of shared and unshared case information in team-based medical decision making
",1998-07-01,True,10.1037/0022-3514.75.1.93,"['Larson, James R., Jr.', 'Christensen, Caryn', 'Franz, Timothy M.', 'Abbott, Ann S.']","['pooling & management & impact of shared vs unshared information, medical decision making, physicians']",['Empirical Study'],41.0,Journal of Personality and Social Psychology,75.0,1.0,93-108
1647028813.xml,"Stereotypic vision: How stereotypes disambiguate visual stimuli
",2015-02-01,True,10.1037/pspa0000015,"['Correll, Joshua', 'Wittenbrink, Bernd', 'Crawford, Matthew T.', 'Sadler, Melody S.']","['danger', 'construal', 'weapon', 'stereotype', 'visual attention']","['Empirical Study', 'Quantitative Study']",41.0,Journal of Personality and Social Psychology,108.0,2.0,219-233
614369748.xml,"Trust in close relationships
",1985-07-01,True,10.1037/0022-3514.49.1.95,"['Rempel, John K.', 'Holmes, John G.', 'Zanna, Mark P.']","['validity of predictability & dependability & faith as dimensions of model of interpersonal trust, dating vs cohabiting vs married couples']",['Empirical Study'],25.0,Journal of Personality and Social Psychology,49.0,1.0,95-112
614451352.xml,"Trait as Default: Extraversion, Subjective Well-Being, and the Distinction Between Neutral and Positive Events
",2003-09-01,True,10.1037/0022-3514.85.3.517,"['Robinson, Michael D.', 'Solberg, Emily Crawford', 'Vargas, Patrick T.', 'Tamir, Maya']","['subjective well-being', 'extraversion', 'distinction between neutral & positive events', 'encoding']","['Empirical Study', 'Experimental Replication', 'Quantitative Study']",57.0,Journal of Personality and Social Psychology,85.0,3.0,517-527
614291949.xml,"The use of subliminal psychodynamic activation in the study of repression
",1986-10-01,True,10.1037/0022-3514.51.4.844,"['Geisler, Carol']","['subliminal psychodynamic activation, repression of sexual guilt, female college students']",['Empirical Study'],41.0,Journal of Personality and Social Psychology,51.0,4.0,844-851
614448497.xml,"Going along versus going alone: When fundamental motives facilitate strategic (non)conformity
",2006-08-01,True,10.1037/0022-3514.91.2.281,"['Griskevicius, Vladas', 'Goldstein, Noah J.', 'Mortensen, Chad R.', 'Cialdini, Robert B.', 'Kenrick, Douglas T.']","['nonconformity', 'mating goals', 'fear', 'self-presentation', 'social influence', 'social motives', 'self-protection', 'mate attraction']","['Empirical Study', 'Quantitative Study']",101.0,Journal of Personality and Social Psychology,91.0,2.0,281-294
614336130.xml,"""Naive cynicism"" in everyday theories of responsibility assessment: On biased assumptions of bias
",1999-05-01,True,10.1037/0022-3514.76.5.743,"['Kruger, Justin', 'Gilovich, Thomas']","['cynical perceptions & expectations of others responsibility assessments, married couples & video game players & debaters & dart players']",['Empirical Study'],53.0,Journal of Personality and Social Psychology,76.0,5.0,743-753
614487889.xml,"Distinguishing institutional identification from academic goal pursuit: Interactive effects of ethnic identification and race-based rejection sensitivity
",2008-08-01,True,10.1037/0022-3514.95.2.338,"['Mendoza-Denton, Rodolfo', 'Pietrzak, Janina', 'Downey, Geraldine']","['academic achievement', 'belonging', 'ethnic identity', 'stigma', 'prejudice', 'race-based rejection sensitivity']","['Empirical Study', 'Longitudinal Study', 'Quantitative Study']",82.0,Journal of Personality and Social Psychology,95.0,2.0,338-351
614332326.xml,"When doing better means feeling worse: The effects of categorical cutoff points on counterfactual thinking and satisfaction
",1997-06-01,True,10.1037/0022-3514.72.6.1284,"['Medvec, Victoria Husted', 'Savitsky, Kenneth']","['cut-off points & actual & hypothetical grades & grade point averages, counterfactual thoughts & satisfaction, college students']",['Empirical Study'],39.0,Journal of Personality and Social Psychology,72.0,6.0,1284-1296
614388428.xml,"Particularistic and universalistic evaluation in the social comparison process
",1988-12-01,True,10.1037/0022-3514.55.6.908,"['Miller, Dale T.', 'Turnbull, William', 'McFarland, Cathy']","['role of particularistic vs universalistic evaluation, social comparison process, college students']",['Empirical Study'],31.0,Journal of Personality and Social Psychology,55.0,6.0,908-917
614320622.xml,"Adult attachment, working models, and relationship quality in dating couples
",1990-04-01,True,10.1037/0022-3514.58.4.644,"['Collins, Nancy L.', 'Read, Stephen J.']","['attachment style dimensions, working models of self & other & dating relationship quality, college student couples']",['Empirical Study'],67.0,Journal of Personality and Social Psychology,58.0,4.0,644-663
614318369.xml,"A framework for studying personality in the stress process
",1995-11-01,True,10.1037/0022-3514.69.5.890,"['Bolger, Niall', 'Zuckerman, Adam']","['daily interpersonal conflicts & coping & distress, college students with high vs low neuroticism, comparison of models']",['Empirical Study'],62.0,Journal of Personality and Social Psychology,69.0,5.0,890-902
614385938.xml,"Resilient Individuals Use Positive Emotions to Bounce Back From Negative Emotional Experiences
",2004-02-01,True,10.1037/0022-3514.86.2.320,"['Tugade, Michele M.', 'Fredrickson, Barbara L.']","['psychological resilience', 'stressful experiences', 'negative emotional experiences', 'positive emotions', 'emotional regulation', 'positive meaning', 'cardiovascular recovery']","['Empirical Study', 'Quantitative Study']",56.0,Journal of Personality and Social Psychology,86.0,2.0,320-333
614358307.xml,"How people make support judgments: Individual differences in the traits used to infer supportiveness in others
",2001-12-01,True,10.1037/0022-3514.81.6.1070,"['Lutz, Catherine J.', 'Lakey, Brian']","['social support', 'social judgments', 'relationship effects', 'systematic differences', 'supportiveness judgments', 'social networks', 'personality traits']",['Empirical Study'],34.0,Journal of Personality and Social Psychology,81.0,6.0,1070-1079
886593118.xml,"Relating trait self-control and forgiveness within prosocials and proselfs: Compensatory versus synergistic models
",2011-11-01,True,10.1037/a0024967,"['Balliet, Daniel', 'Li, Norman P.', 'Joireman, Jeff']","['forgiveness', 'social dilemmas', 'social value orientation', 'trait self-control']","['Empirical Study', 'Quantitative Study']",80.0,Journal of Personality and Social Psychology,101.0,5.0,1090-1105
614327997.xml,"Moderators of self–other agreement: Reconsidering temporal stability in personality
",1998-08-01,True,10.1037/0022-3514.75.2.467,"['Biesanz, Jeremy C.', 'West, Stephen G.', 'Graziano, William G.']","['temporal stability of response patterns & self-other agreement on conscientiousness & extraversion, college students']",['Empirical Study'],48.0,Journal of Personality and Social Psychology,75.0,2.0,467-477
614300540.xml,"Toward an understanding of trait interrelations: Acts as instances for several traits
",1986-08-01,True,10.1037/0022-3514.51.2.371,"['Borkenau, Peter']","['intercorrelations of traits, multiple classification of acts into dispositional categories, college students, West Germany']",['Empirical Study'],43.0,Journal of Personality and Social Psychology,51.0,2.0,371-381
614297301.xml,"The role of construal processes in overconfident predictions about the self and others
",1990-12-01,True,10.1037/0022-3514.59.6.1128,"['Griffin, Dale W.', 'Dunning, David', 'Ross, Lee']","['estimation of time or money spent in hypothetical & incompletely specified situations, confidence limits for predictions & responses for self & others, adults']",['Empirical Study'],41.0,Journal of Personality and Social Psychology,59.0,6.0,1128-1139
